name,duration,address,ticket,food
Parque das Ruínas,Part,"Rua Murtinho Nobre, 169 - Santa Teresa",0,no
Cristo Redentor,Part,"Estrada do Corcovado, s/n - Humaitá",85,no
Bondinho Pão de Açúcar,Part,"Av. Pasteur, 520 - Urca",85,no
Escadaria Selarón,Part,R. Manuel Carneiro - Lapa,0,no
Planetário ,Part,"R. Vice-Governador Rúbens Berardo, 100 - Gávea,",20,no
AquaRio,Part,Praça Muhammad Ali - Gamboa,100,no
Roda Gigante,Part,"Av. Rodrigues Alves, 455 - Santo Cristo",80,no
Bondinho de Santa Teresa,Part ,"R. Lélio Gama, s/n - Centro",20,no
Museu da República,Part,"R. do Catete, 153 - Catete",0,no
Museu de Arte do Rio,Part,"Praça Mauá, 5 - Saúde",20,no
BioParque,Whole,Parque da Quinta da Boa Vista S/N - São Cristóvão,65,yes
Museu da Marinha,Part,"Av. Alfred Agache, S/N - Centro",0,no
Jardim Botânico,Whole,"R. Jardim Botânico, 1008 - Jardim Botânico",18,no
Parque Lage,Part,"R. Jardim Botânico, 414 - Jardim Botânico",0,no
Museu do Amanhã,Part,"Praça Mauá, 1 - Centro",40,no
Centro Cultural Banco do Brasil,Part,"R. Primeiro de Março, 66 - Centro",0,no
Forte de Copacabana,Part,"Praça Coronel Eugênio Franco, 1, Posto 6 - Copacabana",0,no
Cadeg,Whole,"R. Capitão Félix, 110 - Benfica",0,yes